Number of solutions: 120

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, B, WAR @ CEN, C, COE @ LUT, D, 
Week: 1, LOR @ SIM, C, CEN @ BVU, B, DBQ @ COE, A, NWU @ WAR, E, 
Week: 2, COE @ LOR, B, BVU @ NWU, D, LUT @ DBQ, E, SIM @ CEN, A, 
Week: 3, LOR @ LUT, C, WAR @ BVU, A, NWU @ SIM, B, CEN @ COE, E, 
Week: 4, DBQ @ LOR, E, SIM @ WAR, D, LUT @ CEN, B, COE @ NWU, C, 
Week: 5, BVU @ SIM, E, CEN @ DBQ, D, WAR @ COE, B, NWU @ LUT, A, 
Week: 6, LOR @ CEN, E, COE @ BVU, D, DBQ @ NWU, B, LUT @ WAR, C, 
Week: 7, NWU @ LOR, D, BVU @ LUT, E, WAR @ DBQ, A, SIM @ COE, C, 
Week: 8, LOR @ WAR, B, DBQ @ BVU, C, CEN @ NWU, A, LUT @ SIM, D, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, B, WAR @ CEN, C, COE @ LUT, E, 
Week: 1, LOR @ SIM, C, CEN @ BVU, B, DBQ @ COE, A, NWU @ WAR, D, 
Week: 2, COE @ LOR, B, BVU @ NWU, E, LUT @ DBQ, D, SIM @ CEN, A, 
Week: 3, LOR @ LUT, C, WAR @ BVU, A, NWU @ SIM, B, CEN @ COE, D, 
Week: 4, DBQ @ LOR, D, SIM @ WAR, E, LUT @ CEN, B, COE @ NWU, C, 
Week: 5, BVU @ SIM, D, CEN @ DBQ, E, WAR @ COE, B, NWU @ LUT, A, 
Week: 6, LOR @ CEN, D, COE @ BVU, E, DBQ @ NWU, B, LUT @ WAR, C, 
Week: 7, NWU @ LOR, E, BVU @ LUT, D, WAR @ DBQ, A, SIM @ COE, C, 
Week: 8, LOR @ WAR, B, DBQ @ BVU, C, CEN @ NWU, A, LUT @ SIM, E, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, B, WAR @ CEN, D, COE @ LUT, C, 
Week: 1, LOR @ SIM, D, CEN @ BVU, B, DBQ @ COE, A, NWU @ WAR, E, 
Week: 2, COE @ LOR, B, BVU @ NWU, C, LUT @ DBQ, E, SIM @ CEN, A, 
Week: 3, LOR @ LUT, D, WAR @ BVU, A, NWU @ SIM, B, CEN @ COE, E, 
Week: 4, DBQ @ LOR, E, SIM @ WAR, C, LUT @ CEN, B, COE @ NWU, D, 
Week: 5, BVU @ SIM, E, CEN @ DBQ, C, WAR @ COE, B, NWU @ LUT, A, 
Week: 6, LOR @ CEN, E, COE @ BVU, C, DBQ @ NWU, B, LUT @ WAR, D, 
Week: 7, NWU @ LOR, C, BVU @ LUT, E, WAR @ DBQ, A, SIM @ COE, D, 
Week: 8, LOR @ WAR, B, DBQ @ BVU, D, CEN @ NWU, A, LUT @ SIM, C, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, B, WAR @ CEN, D, COE @ LUT, E, 
Week: 1, LOR @ SIM, D, CEN @ BVU, B, DBQ @ COE, A, NWU @ WAR, C, 
Week: 2, COE @ LOR, B, BVU @ NWU, E, LUT @ DBQ, C, SIM @ CEN, A, 
Week: 3, LOR @ LUT, D, WAR @ BVU, A, NWU @ SIM, B, CEN @ COE, C, 
Week: 4, DBQ @ LOR, C, SIM @ WAR, E, LUT @ CEN, B, COE @ NWU, D, 
Week: 5, BVU @ SIM, C, CEN @ DBQ, E, WAR @ COE, B, NWU @ LUT, A, 
Week: 6, LOR @ CEN, C, COE @ BVU, E, DBQ @ NWU, B, LUT @ WAR, D, 
Week: 7, NWU @ LOR, E, BVU @ LUT, C, WAR @ DBQ, A, SIM @ COE, D, 
Week: 8, LOR @ WAR, B, DBQ @ BVU, D, CEN @ NWU, A, LUT @ SIM, E, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, B, WAR @ CEN, E, COE @ LUT, C, 
Week: 1, LOR @ SIM, E, CEN @ BVU, B, DBQ @ COE, A, NWU @ WAR, D, 
Week: 2, COE @ LOR, B, BVU @ NWU, C, LUT @ DBQ, D, SIM @ CEN, A, 
Week: 3, LOR @ LUT, E, WAR @ BVU, A, NWU @ SIM, B, CEN @ COE, D, 
Week: 4, DBQ @ LOR, D, SIM @ WAR, C, LUT @ CEN, B, COE @ NWU, E, 
Week: 5, BVU @ SIM, D, CEN @ DBQ, C, WAR @ COE, B, NWU @ LUT, A, 
Week: 6, LOR @ CEN, D, COE @ BVU, C, DBQ @ NWU, B, LUT @ WAR, E, 
Week: 7, NWU @ LOR, C, BVU @ LUT, D, WAR @ DBQ, A, SIM @ COE, E, 
Week: 8, LOR @ WAR, B, DBQ @ BVU, E, CEN @ NWU, A, LUT @ SIM, C, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, B, WAR @ CEN, E, COE @ LUT, D, 
Week: 1, LOR @ SIM, E, CEN @ BVU, B, DBQ @ COE, A, NWU @ WAR, C, 
Week: 2, COE @ LOR, B, BVU @ NWU, D, LUT @ DBQ, C, SIM @ CEN, A, 
Week: 3, LOR @ LUT, E, WAR @ BVU, A, NWU @ SIM, B, CEN @ COE, C, 
Week: 4, DBQ @ LOR, C, SIM @ WAR, D, LUT @ CEN, B, COE @ NWU, E, 
Week: 5, BVU @ SIM, C, CEN @ DBQ, D, WAR @ COE, B, NWU @ LUT, A, 
Week: 6, LOR @ CEN, C, COE @ BVU, D, DBQ @ NWU, B, LUT @ WAR, E, 
Week: 7, NWU @ LOR, D, BVU @ LUT, C, WAR @ DBQ, A, SIM @ COE, E, 
Week: 8, LOR @ WAR, B, DBQ @ BVU, E, CEN @ NWU, A, LUT @ SIM, D, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, A, SIM @ DBQ, C, WAR @ CEN, B, COE @ LUT, D, 
Week: 1, LOR @ SIM, B, CEN @ BVU, C, DBQ @ COE, A, NWU @ WAR, E, 
Week: 2, COE @ LOR, C, BVU @ NWU, D, LUT @ DBQ, E, SIM @ CEN, A, 
Week: 3, LOR @ LUT, B, WAR @ BVU, A, NWU @ SIM, C, CEN @ COE, E, 
